content,platform,time
质量非常差,豌豆荚,2017-10-2020:00:07
之前很好用，现在是什么鬼啊！！,小米应用商店,2017-12-1918:58:11
真烂啊，各种麻烦，还有好多没用的信息，服了,360手机助手,2017-11-2920:19:57
这个头条不如以前了，有一半是视频了，12月31号果断卸载了。,小米应用商店,2017-12-3107:30:52
这个软件监听电话，即使权限全部关闭情况下！！！！！垃圾,豌豆荚,2017-10-1913:32:37
怎么登不上了？,vivo应用商店,2017-12-1918:37:38
一入神坑逃不出,小米应用商店,2017-11-1720:19:23
悟空问答就是弱智集中营，一堆白痴问题邀请你回答，你要难得遇到一个能算问题的认真回答了，立刻被无耻之徒一字不漏抄袭而且它还被推荐。反应问题就会答非所问推卸责任。果断卸了。,小米应用商店,2017-12-2614:05:32
无法下载,豌豆荚,2017-10-2221:42:18
卧槽我为啥QQ登陆不了了垃圾死了,应用宝,2017-12-1919:32:53
卧槽官方你是怎么了？这为什么不能卸载我操你tmd到底是在吃干饭的吧。弄个不能卸载的东西，你让我们下的还安心吗？我也是你妈的醉了。以后这种东西千万不要再放出来了。再放出来我就让你全部好看。,360手机助手,2017-12-2217:28:30
卧槽，怎么用不了了？,小米应用商店,2017-12-1918:49:22
我也是无语了，广告插入越来越多,小米应用商店,2018-01-0223:27:07
文章水平质量垃圾,豌豆荚,2017-10-2213:55:03
为什么这两天老是闪退呢,应用宝,2017-11-2911:37:48
为啥老是闪退,豌豆荚,2017-12-2218:21:00
微头条总出现！！！！差差差差差！！！,小米应用商店,2018-01-0314:11:42
特卖没以前好用了,vivo应用商店,2017-11-0200:47:19
首页居然两个视频入口，垃圾,小米应用商店,2017-12-1919:16:51
视频太短，发的坑人，差评,vivo应用商店,2017-12-1010:53:17
删了删了，一星都不想给,小米应用商店,2017-11-0519:34:35
傻比玩意，升级后，桌面插件没了。有什么用，删了,豌豆荚,2017-10-2201:50:38
呸！为了建立和谐社会新版删除了社会分栏我呸！掩耳盗铃么？一星拿走不谢,AppStore,2018-01-0118:49:00
你密集恐惧,vivo应用商店,2017-12-0918:05:00
尼玛币的以前版本可以下载视频，升级就不行了，太他妈的烂了,小米应用商店,2017-11-2411:58:44
内容质量真是太差了,豌豆荚,2017-10-2213:28:11
内容垃圾,豌豆荚,2017-10-2111:34:48
吗的更新后桌面插件都没了,豌豆荚,2017-10-2222:32:03
妈的下载下来还删不了，有毒的软件不要下载,应用宝,2017-11-2419:57:16
流氓软件，跟小米视频一起坑人，莫名其妙就下载安装了,小米应用商店,2017-12-0122:43:40
垃圾软件,应用宝,2017-12-2715:08:15
垃圾好，提示音能关吗,豌豆荚,2017-10-1501:01:16
垃圾广告平台，明明屏蔽了好多电商广告，还是一个劲的给我推送，当当bitch还要立牌坊，垃圾软件,小米应用商店,2017-11-0307:14:26
垃圾更新后不推送了…？,豌豆荚,2017-10-1707:27:55
垃圾东西全是小米水军,小米应用商店,2017-12-1920:20:37
垃圾，总是弹广告。。。,豌豆荚,2017-10-1800:58:47
垃圾，一个实名认证提交上百次都通不过,小米应用商店,2017-11-0817:14:09
垃圾，半年前的新闻也叫新闻，重重复复,豌豆荚,2017-10-2209:33:03
垃圾，，水军狗屎粪之地，。,应用宝,2017-12-1719:34:47
垃圾！,豌豆荚,2017-10-2106:36:13
垃圾。,豌豆荚,2017-10-1906:11:47
垃圾,小米应用商店,2017-12-1919:13:50
看视频闪退？垃圾,小米应用商店,2017-12-2000:12:40
卡卡卡卡卡iphone7看视频点评论啊切下一个卡到爆,AppStore,2017-11-2501:07:16
毫无知识产权可言,豌豆荚,2017-10-2001:07:20
非常鄙視這個軟件，在甚麼地方都能看到，還強制下載無法停止，噁心，非常鄙視,豌豆荚,2017-10-2303:03:44
登录了头像疑似违规或存在未知风险被永久封禁？？？他麻麻腾训都不封我头像你说违规，神经东西，滚你麻麻的**,vivo应用商店,2017-12-1511:16:23
大学老师说全是假新闻、垃圾新闻。,小米应用商店,2017-12-0319:09:30
操闪屏！垃圾,360手机助手,2017-12-2520:33:34
呸！为了建立和谐社会新版删除了社会分栏我呸！掩耳盗铃么？一星拿走不谢,AppStore,2018-01-0118:49:00
卡卡卡卡卡iphone7看视频点评论啊切下一个卡到爆,AppStore,2017-11-2501:07:16
iOS11iPhone6无法登录RT,AppStore,2017-10-0119:14:56
广告一堆缓存清理不干净没以前好各种视频直播推荐关注越来越利益化了。赶紧下架吧恶心的商人,AppStore,2017-09-1811:42:48
烂东西更新之后卡的要死还闪退沙壁东西更新nmlg臭b,AppStore,2017-09-1610:11:21
越更新越差！越更新越差！老子要疯了！上面直接有关注和下面有＋号！我草是嫩娘的！,AppStore,2017-09-1515:28:44
广告！垃圾App。,AppStore,2017-09-1214:18:02
真卡越更新越卡一星都不想给,AppStore,2017-09-1109:06:10
越做越烂今日头条的开发长点心吧，做的什么烂东西，与第三方微博连不上了没发现么？内容越来越烂都不做优化筛选了。界面设计一百年没优化过了，一堆乱七八糟的营销账号。原来挺好的app让你们这群白痴越做越烂。,AppStore,2017-09-1019:17:48
垃圾版本垃圾版本,AppStore,2017-09-0117:09:17
这玩意千万别下，垃圾啊，还有人管了没？广告，各种bug，卧槽啊，一块钱喂狗了,AppStore,2017-08-2715:51:19
垃圾软件有广告，垃圾头条,AppStore,2017-07-2721:42:08
视频和声音不同步越更新越垃圾！声音和视频不同步，卡的要死！广告特多！不建议下载个更新！,AppStore,2017-07-1522:09:28
广告又有了刚夸完没广告，结果就又上线广告了。垃圾，花钱买pro来看广告来了,AppStore,2017-06-1311:14:22
闪退闪退无止尽越更新越垃圾,AppStore,2017-05-1914:54:37
垃圾跟免费版一样，这个还要钱，都是标题党，果断卸载，小编都是吃s的。,AppStore,2017-02-2412:27:39
垃圾??????????????,AppStore,2017-02-0700:56:18
垃圾?????????????,AppStore,2017-02-0401:45:13
垃圾v5v5,AppStore,2017-01-2421:41:47
坑人链接不了网络，根本用不了,AppStore,2017-01-2217:47:52
垃圾HhhhHhhhhh,AppStore,2017-01-1913:13:28
闪退刚刚更新完老是闪退啊,AppStore,2017-01-1210:23:00
垃圾????,AppStore,2017-01-1112:11:35
闪退现在点开两秒就闪退，垃圾更新！,AppStore,2017-01-0610:53:36
说句实话真不好用自从更新没以前好用,AppStore,2017-01-0503:25:07
垃圾更新闪退啊，我的哥,AppStore,2017-01-0414:49:04
垃圾更新以后不停的闪退,AppStore,2017-01-0414:29:55
